Station,State,ID,Lat,Lon,Elev,WMO
Alabaster,AL,KEET,33.18,-86.78,178,99999
Anniston,AL,KANB,33.58,-85.85,186,99999
Auburn-Opelika,AL,KAUO,32.62,-85.43,236,99999
Mobile Downtown,AL,KBFM,30.63,-88.07,8,99999
Birmingham,AL,KBHM,33.57,-86.75,192,72228
Centreville,AL,KCKL,32.9,-87.25,140,72229
Decatur,AL,KDCU,34.65,-86.95,180,99999
Dothan,AL,KDHN,31.32,-85.45,122,99999
Evergreen,AL,KGZH,31.42,-87.04,79,99999
Gadsden,AL,KGAD,33.97,-86.08,173,99999
Huntsville,AL,KHSV,34.65,-86.77,196,72323
Montgomery,AL,KMGM,32.3,-86.4,62,72226
Mobile,AL,KMOB,30.68,-88.25,67,72223
Muscle Shoals,AL,KMSL,34.75,-87.62,168,99999
Maxwell AFB,AL,KMXF,32.38,-86.37,51,99999
Ozark,AL,KOZR,31.28,-85.72,91,99999
Tuscaloosa,AL,KTCL,33.22,-87.62,52,99999
Troy,AL,KTOI,31.87,-86.02,121,99999
